#businessType			TUD				type側	
No	Code	Sort	大分類	Code	Sort	小分類	大分類	小分類
1	Grp1	1	IT・通信	1	1	システムインテグレータ	IT・通信	システムインテグレータ
2	Grp1	1	IT・通信	2	2	ベンダ（ハードウェア・ソフトウェア）	IT・通信	ベンダ（ハードウェア・ソフトウェア）
3	Grp1	1	IT・通信	3	3	ITコンサルティング	IT・通信	ITコンサルティング
4	Grp1	1	IT・通信	4	4	SES・ITアウトソーシング	IT・通信	SES・ITアウトソーシング
5	Grp1	1	IT・通信	5	5	通信キャリア・ISP	IT・通信	通信キャリア・ISP
6	Grp1	1	IT・通信	6	6	データセンター ・クラウド	IT・通信	データセンター ・クラウド
20	Grp1	1	IT・通信	20	20	AI・人工知能関連	IT・通信	AI・人工知能関連
8	Grp1	1	IT・通信	8	8	RPA・RPAソリューション	IT・通信	RPA・RPAソリューション
9	Grp1	1	IT・通信	9	9	IoT・M2M・ロボット	IT・通信	IoT・M2M・ロボット
10	Grp1	1	IT・通信	10	10	AR（拡張現実）・VR（仮想現実）	IT・通信	AR（拡張現実）・VR（仮想現実）
11	Grp2	2	インターネット・広告・メディア	11	11	Webサービス・Webメディア（EC・ポータル・ソーシャル）・SNS	インターネット・広告・メディア	Webサービス・Webメディア（EC・ポータル・ソーシャル）・SNS
12	Grp2	2	インターネット・広告・メディア	12	12	Webマーケティング	インターネット・広告・メディア	Webマーケティング
13	Grp2	2	インターネット・広告・メディア	13	13	広告代理店	インターネット・広告・メディア	広告代理店
14	Grp2	2	インターネット・広告・メディア	14	14	放送・新聞・出版	インターネット・広告・メディア	放送・新聞・出版
15	Grp2	2	インターネット・広告・メディア	15	15	広告制作	インターネット・広告・メディア	広告制作
16	Grp2	2	インターネット・広告・メディア	16	16	ゲーム（オンライン・ソーシャル）	インターネット・広告・メディア	ゲーム（オンライン・ソーシャル）
17	Grp2	2	インターネット・広告・メディア	17	17	セールスプロモーション（SP）代理店（イベント・販促提案など）	インターネット・広告・メディア	セールスプロモーション（SP）代理店（イベント・販促提案など）
18	Grp2	2	インターネット・広告・メディア	18	18	印刷	インターネット・広告・メディア	印刷
19	Grp3	3	エネルギー（電力・ガス・石油・新エネルギー）	19	19	エネルギー（電力・ガス・石油・新エネルギー）	エネルギー（電力・ガス・石油・新エネルギー）	エネルギー（電力・ガス・石油・新エネルギー）
20	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	20	20	総合コンサルティング	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	総合コンサルティング
21	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	21	21	経営・戦略コンサルティング	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	経営・戦略コンサルティング
22	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	22	22	組織人事コンサルティング	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	組織人事コンサルティング
23	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	23	23	リスクコンサルティング	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	リスクコンサルティング
24	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	24	24	その他専門コンサルティング	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	その他専門コンサルティング
25	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	25	25	マーケティング・リサーチ	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	マーケティング・リサーチ
26	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	26	26	財務・会計アドバイザリー（FAS）	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	財務・会計アドバイザリー（FAS）
27	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	27	27	シンクタンク	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	シンクタンク
28	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	28	28	税理士法人	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	税理士法人
29	Grp4	4	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	29	29	監査法人	コンサルティング・専門事務所・監査法人・税理士法人・リサーチ	監査法人
30	Grp5	5	メーカー（機械・電気）	30	30	総合電機メーカー	メーカー（機械・電気）	総合電機メーカー
31	Grp5	5	メーカー（機械・電気）	31	31	家電・モバイル・複写機・プリンタ	メーカー（機械・電気）	家電・モバイル・複写機・プリンタ
32	Grp5	5	メーカー（機械・電気）	32	32	ゲーム・アミューズメント・エンタメ	メーカー（機械・電気）	ゲーム・アミューズメント・エンタメ
33	Grp5	5	メーカー（機械・電気）	33	33	通信機器・ネットワーク機器	メーカー（機械・電気）	通信機器・ネットワーク機器
34	Grp5	5	メーカー（機械・電気）	34	34	半導体	メーカー（機械・電気）	半導体
35	Grp5	5	メーカー（機械・電気）	35	35	電子部品	メーカー（機械・電気）	電子部品
36	Grp5	5	メーカー（機械・電気）	36	36	計測機器・光学機器・精密機器・分析機器	メーカー（機械・電気）	計測機器・光学機器・精密機器・分析機器
37	Grp5	5	メーカー（機械・電気）	37	37	自動車（四輪・二輪）メーカー	メーカー（機械・電気）	自動車（四輪・二輪）メーカー
